match_id,date,stage,group,team_1,team_2,score_1,score_2,winner,decided_by_penalties,notes,total_goals,goal_difference
1,2026-06-11,0,0,22,33,2,0,20,0,Tournament opening match at Estadio Azteca,2,2
2,2026-06-11,0,0,32,9,2,1,29,0,No Notes,3,1
3,2026-06-12,0,1,7,3,1,1,11,0,No Notes,2,0
4,2026-06-12,0,3,37,27,4,1,34,0,No Notes,5,3
5,2026-06-13,0,1,35,29,1,1,11,0,No Notes,2,0
6,2026-06-13,0,2,6,22,1,1,11,0,No Notes,2,0
7,2026-06-13,0,2,29,15,1,0,26,0,No Notes,1,1
8,2026-06-13,0,3,2,37,2,0,2,0,No Notes,2,2
9,2026-06-14,0,4,17,8,7,1,16,0,No Notes,8,6
10,2026-06-14,0,4,20,11,1,0,18,0,No Notes,1,1
11,2026-06-14,0,5,24,19,2,2,11,0,No Notes,4,0
12,2026-06-14,0,5,34,36,5,1,31,0,No Notes,6,4
13,2026-06-15,0,6,4,12,1,1,11,0,No Notes,2,0
14,2026-06-15,0,6,19,24,2,2,11,0,No Notes,4,0
15,2026-06-15,0,7,33,6,0,0,11,0,No Notes,0,0
16,2026-06-15,0,7,28,39,1,1,11,0,No Notes,2,0
17,2026-06-16,0,8,16,32,3,1,15,0,No Notes,4,2
18,2026-06-16,0,8,25,17,4,1,23,0,No Notes,5,3
19,2026-06-16,0,9,1,0,3,0,1,0,No Notes,3,3
20,2026-06-16,0,9,3,20,3,1,3,0,No Notes,4,2
21,2026-06-17,0,10,27,10,1,1,11,0,No Notes,2,0
22,2026-06-17,0,10,9,40,3,1,8,0,No Notes,4,2
23,2026-06-17,0,12,15,7,4,2,14,0,No Notes,6,2
24,2026-06-17,0,12,18,26,1,0,17,0,No Notes,1,1
25,2026-06-18,0,0,11,33,1,1,11,0,No Notes,2,0
26,2026-06-18,0,0,22,34,1,0,20,0,No Notes,1,1
27,2026-06-18,0,1,35,3,4,1,32,0,No Notes,5,3
28,2026-06-18,0,1,7,29,6,0,7,0,No Notes,6,6
29,2026-06-19,0,2,23,31,1,0,21,0,No Notes,1,1
30,2026-06-19,0,2,6,15,3,0,6,0,No Notes,3,3
31,2026-06-19,0,3,37,1,2,0,34,0,No Notes,2,2
32,2026-06-19,0,3,26,37,1,0,24,0,No Notes,1,1
33,2026-06-20,0,4,17,18,2,1,16,0,No Notes,3,1
34,2026-06-20,0,4,13,8,0,0,11,0,No Notes,0,0
35,2026-06-20,0,5,24,35,5,1,22,0,No Notes,6,4
36,2026-06-20,0,5,21,36,4,0,19,0,No Notes,4,4
37,2026-06-21,0,6,4,16,0,0,11,0,No Notes,0,0
38,2026-06-21,0,6,14,24,3,1,13,0,No Notes,4,2
39,2026-06-21,0,7,33,30,4,0,30,0,No Notes,4,4
40,2026-06-21,0,7,38,6,2,2,11,0,No Notes,4,0
41,2026-06-22,0,8,16,17,3,0,15,0,No Notes,3,3
42,2026-06-22,0,8,25,32,3,2,23,0,No Notes,5,1
43,2026-06-22,0,9,1,2,2,0,1,0,Messi broke World Cup all-time goalscoring record in this match,2,2
44,2026-06-22,0,9,0,20,2,1,0,0,No Notes,3,1
45,2026-06-23,0,10,27,40,5,0,25,0,No Notes,5,5
46,2026-06-23,0,10,9,10,1,0,8,0,No Notes,1,1
47,2026-06-23,0,12,15,14,0,0,11,0,No Notes,0,0
48,2026-06-23,0,12,10,26,1,0,9,0,No Notes,1,1
49,2026-06-24,0,0,22,9,3,0,20,0,No Notes,3,3
50,2026-06-24,0,0,31,34,1,0,28,0,No Notes,1,1
51,2026-06-24,0,1,35,5,2,1,32,0,No Notes,3,1
